PROJECT_ID,Initial_completion_date,final_completion_date,Delayed,Amount_of_Delay_(Quarters),Initial_ESTIMATED_COST,Final_Estimated_Budget,Budget_Overrun,percentage_of_overrun,CT_Commercial,CT_Industrial,CT_Infrastructure,CT_Institutional,CT_Residential,CST_Primarily_residential_Single_use,CST_Education,CST_Utilities,CST_Roads_Highways,CST_Oil_Gas,CST_Health,CST_Mixed_Use,CST_Recreation,CST_Office,CST_Others,REGION,Region_Mainland/Southwest,Region_Vancouver_Island/Coast,Region_Thompson-Okanagan,Region_Northeast,Region_others,MUNICIPALITY,Urban,Type_Owner_priv,Type_Owner_prov,Type_Owner_part,Project_Status_Construction_started,Project_Status_Proposed,Project_Status_On_hold,Project_Status_Completed,PUBLIC_FUNDING_IND,GREEN_BUILDING_IND,FIRST_NATION_IND,Times_Delayed,Age,Jobs,Below_Average_Winter_Temp_Quarters,Quarters_with_Above_Average_Snowfall,Quarters_with_Above_Average_Rain
1384,2020-Q4,2020-Q4,0,0,350,350,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Squamish,0,1,0,0,0,1,0,0,0,0,0,0,0,1001,2,4,3
1402,2016-Q1,2016-Q1,0,0,120,120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2. Mainland/Southwest,1,0,0,0,0,Surrey,1,0,0,1,0,0,0,1,0,1,0,0,16.5,343,1,4,5
1411,2016-Q4,2017-Q1,1,1,500,500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2. Mainland/Southwest,1,0,0,0,0,Vancouver,1,1,0,0,1,0,0,0,0,1,0,1,6.5,3571,2,3,1
1413,2017-Q4,2017-Q4,0,0,2500,2500,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6. North Coast,0,0,0,0,1,Kitimat,0,1,0,0,0,1,0,0,0,0,0,0,3.5,1924,1,5,3
1418,2029-Q4,2029-Q4,0,0,2000,2000,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1. Vancouver Island/Coast,0,1,0,0,0,Langford,0,1,0,0,1,0,0,0,0,1,0,0,10.5,5720,2,4,4
1419,2016-Q2,2019-Q2,1,12,20,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2. Mainland/Southwest,1,0,0,0,0,Mission,0,1,0,0,1,0,0,0,0,0,0,5,12.5,362,2,4,3
1432,2017-Q4,2020-Q2,1,10,121,121,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1. Vancouver Island/Coast,0,1,0,0,0,Comox,0,0,1,0,1,0,0,0,1,0,0,5,10.5,559,2,4,4
1433,2018-Q1,2018-Q1,0,0,70,70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kelowna,1,1,0,0,1,0,0,0,0,0,0,0,13.5,200,0,4,2
1460,2016-Q4,2019-Q3,1,11,45,45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Vernon,0,1,0,0,1,0,0,0,0,0,0,5,14.5,129,1,6,5
1465,2016-Q2,2019-Q3,1,13,150,150,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3. Thompson-Okanagan,0,0,1,0,0,Kamloops,1,1,0,0,1,0,0,0,0,0,0,3,14.5,429,2,7,7
